2026-05-26 01:09:46,953 | INFO | __main__ | ========== DEBUT DE L'ENTRAINEMENT ==========
2026-05-26 01:09:46,953 | INFO | src.data_loader | Chargement des données depuis SUPABASE...
2026-05-26 01:09:49,356 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=0&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:09:51,807 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=1000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:09:54,124 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=2000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:09:55,787 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=3000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:09:57,579 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=4000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:09:59,295 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=5000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:00,904 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=6000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:02,458 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=7000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:03,973 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=8000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:05,607 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=9000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:07,016 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=10000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:08,508 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=11000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:10,117 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=12000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:11,806 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=13000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:13,738 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=14000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:15,262 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=15000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:16,180 | INFO | httpx | HTTP Request: GET https://chsezchtwttnlyyiwovj.supabase.co/rest/v1/ALZ_BRONZE?select=%2A&offset=16000&limit=1000 "HTTP/2 200 OK"
2026-05-26 01:10:16,870 | INFO | src.data_loader | Table ALZ_BRONZE chargée : 15,987 lignes × 584 colonnes
2026-05-26 01:10:17,287 | INFO | src.transformation | Valeurs manquantes ajoutées : 84493
2026-05-26 01:10:17,531 | INFO | src.transformation | Doublons supprimés : 0
2026-05-26 01:10:17,531 | INFO | src.transformation | Lignes restantes : 15987
2026-05-26 01:10:17,587 | INFO | src.transformation | Lignes supprimées (unité manquante) : 5
2026-05-26 01:10:17,643 | INFO | src.transformation | Lignes supprimées : 135
2026-05-26 01:10:17,643 | INFO | src.transformation | Lignes restantes : 15847
2026-05-26 01:10:17,651 | INFO | src.transformation | Poids moyen : 77.1 kg
2026-05-26 01:10:17,653 | INFO | src.transformation | Taille moyenne : 168.9 cm
2026-05-26 01:10:17,654 | INFO | src.transformation | Distribution de la cible :
2026-05-26 01:10:17,654 | INFO | src.transformation | DIAGNOSIS
1    9498
0    6349
Name: count, dtype: int64
2026-05-26 01:10:17,656 | INFO | src.train | Split train/test
2026-05-26 01:10:17,659 | INFO | src.pipelines | Construction des pipelines
2026-05-26 01:10:17,659 | INFO | __main__ | --- Modèle : random_forest ---
2026-05-26 01:10:17,667 | INFO | src.train | Entraînement...
2026-05-26 01:10:17,669 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:17,670 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:17,670 | INFO | src.transformation | Pression pulsée moyenne : 59.6
2026-05-26 01:10:17,674 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:18,388 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:18,388 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:18,388 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:18,388 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:19,050 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:19,050 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:19,050 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:19,050 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:19,138 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:19,138 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:19,138 | INFO | src.transformation | Pression pulsée moyenne : 59.7
2026-05-26 01:10:19,142 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:19,800 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:19,800 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:19,800 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:19,800 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:19,903 | INFO | src.transformation | IMC moyen : 28.1
2026-05-26 01:10:19,905 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:19,905 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:19,907 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:20,649 | INFO | src.transformation | IMC moyen : 27.5
2026-05-26 01:10:20,651 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:20,651 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:20,651 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:20,756 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:20,756 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:20,756 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:20,761 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:21,513 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:21,513 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:21,515 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:21,515 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:21,621 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:21,621 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:21,623 | INFO | src.transformation | Pression pulsée moyenne : 59.6
2026-05-26 01:10:21,627 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:22,457 | INFO | src.transformation | IMC moyen : 27.7
2026-05-26 01:10:22,457 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:22,457 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:22,457 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:22,568 | INFO | src.train | Cross-val : 0.9020 ± 0.0065
2026-05-26 01:10:22,577 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:22,578 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:22,579 | INFO | src.transformation | Pression pulsée moyenne : 58.8
2026-05-26 01:10:22,582 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:22,934 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:22,934 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:22,934 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:22,934 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:22,999 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:23,000 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:23,001 | INFO | src.transformation | Pression pulsée moyenne : 58.8
2026-05-26 01:10:23,002 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:23,053 | INFO | src.transformation | IMC moyen : 28.4
2026-05-26 01:10:23,054 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:23,054 | INFO | src.transformation | Pression pulsée moyenne : 58.9
2026-05-26 01:10:23,055 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:23,338 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:23,338 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:23,338 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:23,338 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:23,400 | INFO | src.transformation | IMC moyen : 28.4
2026-05-26 01:10:23,401 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:23,401 | INFO | src.transformation | Pression pulsée moyenne : 58.9
2026-05-26 01:10:23,402 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:23,452 | INFO | src.transformation | IMC moyen : 28.2
2026-05-26 01:10:23,452 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:23,452 | INFO | src.transformation | Pression pulsée moyenne : 59.1
2026-05-26 01:10:23,454 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:23,769 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:23,769 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:23,769 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:23,769 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:23,833 | INFO | src.transformation | IMC moyen : 28.2
2026-05-26 01:10:23,833 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:23,834 | INFO | src.transformation | Pression pulsée moyenne : 59.1
2026-05-26 01:10:23,835 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:23,886 | INFO | src.transformation | IMC moyen : 28.1
2026-05-26 01:10:23,887 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:23,887 | INFO | src.transformation | Pression pulsée moyenne : 59.3
2026-05-26 01:10:23,888 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:24,251 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:24,254 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:24,254 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:24,254 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:24,316 | INFO | src.transformation | IMC moyen : 28.1
2026-05-26 01:10:24,317 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:24,318 | INFO | src.transformation | Pression pulsée moyenne : 59.3
2026-05-26 01:10:24,319 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:24,387 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:24,388 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:24,388 | INFO | src.transformation | Pression pulsée moyenne : 59.4
2026-05-26 01:10:24,390 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:24,799 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:24,799 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:24,799 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:24,799 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:24,857 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:24,858 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:24,858 | INFO | src.transformation | Pression pulsée moyenne : 59.4
2026-05-26 01:10:24,860 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:24,933 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:24,933 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:24,933 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:24,933 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:25,441 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:25,441 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:25,441 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:25,441 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:25,516 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:25,516 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:25,516 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:25,516 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:25,615 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:25,615 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:25,615 | INFO | src.transformation | Pression pulsée moyenne : 59.6
2026-05-26 01:10:25,615 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:26,206 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:26,206 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:26,206 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:26,206 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:26,299 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:26,303 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:26,303 | INFO | src.transformation | Pression pulsée moyenne : 59.6
2026-05-26 01:10:26,303 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:26,414 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:26,414 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:26,414 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:26,414 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:27,050 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:27,050 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:27,050 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:27,050 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:27,148 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:27,148 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:27,148 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:27,148 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:27,286 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:27,286 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:27,286 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:27,295 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,064 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:28,064 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:28,064 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:28,064 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,150 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:28,151 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:28,151 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:28,155 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,248 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:28,248 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:28,248 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:28,259 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,886 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:28,886 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:28,886 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:28,888 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,951 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:28,952 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:28,953 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:28,956 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,048 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:29,048 | INFO | src.transformation | Ratio tension moyen : 1.83
